lrn,last_name,first_name,middle_name,birthday,gender,street_address,city,grade_level
298,Coupman,Raddie,Healy,12/18/1992,Male,80672 Toban Crossing,Chao,8
299,Alcalde,Cristen,Clipston,2/9/2000,Female,7312 Garrison Court,Xinshi,10
300,Dewes,Emlynne,Leare,3/12/2004,Female,405 Farragut Point,Beau Vallon,8
301,Hucquart,Loralee,Raylton,11/9/2003,Female,26396 Farragut Drive,Carrazeda de Ansiães,8
302,Perche,Ilario,Dwight,9/16/2000,Male,65 2nd Center,Berlin,7
303,Freegard,Dew,Ralestone,4/22/2004,Male,22205 Brentwood Pass,Izobil’nyy,7
304,Sysland,Ole,Sycamore,6/13/1999,Male,8456 Mayer Park,Qiubin,7
305,Selly,Jose,De Robertis,7/20/1998,Male,0 Evergreen Hill,Fulu,7
306,Giacopelo,Jessalin,Jannaway,2/9/1992,Female,5230 7th Plaza,Luba,9
307,Hanbury,Jacklyn,Seleway,11/10/1994,Female,5 Rowland Avenue,Bystré,7
308,Normaville,Juliet,Bagg,9/2/2003,Female,41 Holmberg Plaza,Néo Psychikó,10
309,Bridal,Marthe,O'Collopy,10/3/1998,Female,0591 Schiller Lane,Khvānsār,7
310,Kinner,Chase,Comini,7/3/1994,Male,02 Crescent Oaks Avenue,Mrozy,9
311,Curlis,Yvonne,Cheeld,10/28/1992,Female,28 West Drive,Cambé,8
312,Decourt,Jedidiah,Varcoe,8/2/1993,Male,4900 Redwing Drive,Sukamaju,9
313,Forster,Tedie,Hesey,3/21/1991,Male,4590 Eastlawn Court,Sari,8
314,Kingswell,Lorie,Doogue,9/29/1996,Female,65935 Division Hill,Dmitrov,7
315,Klulicek,Carie,Benitez,8/15/1991,Female,13361 Kingsford Lane,Pinillos,7
316,Bollum,Jessamine,Stoffel,9/22/2001,Female,20924 Oneill Plaza,Chiantla,9
317,Wakeham,Eleanore,Donhardt,8/12/1990,Female,9954 Mallory Trail,Wang Sai Phun,8
318,Holah,Jessi,Lerhinan,5/22/1996,Female,72281 Hooker Point,Synevyr,7
319,Scarbarrow,Arlyne,Cisar,6/3/2002,Female,536 Morning Hill,Punta Cana,9
320,Bowcock,Kinny,Meddick,10/7/2004,Male,397 Mitchell Point,Lysice,7
321,McCaskill,Alexis,Teall,4/19/1996,Male,9 Westport Court,Dalmacio Vélez Sársfield,7
322,Sparling,Emera,Dalliwater,3/10/2002,Female,6081 Kedzie Road,Sasayama,8
323,Bernhardt,Agnes,Coad,11/12/2000,Female,7 Summer Ridge Pass,Chợ Mới,10
324,Gillogley,Laverna,Melbourn,5/27/1990,Female,956 Hanson Pass,Samho-rodongjagu,8
325,Arangy,Catarina,McIndoe,11/4/2004,Female,49581 Golf View Pass,Sobue,8
326,Broodes,Halette,Gerhts,8/10/2002,Female,88 Charing Cross Park,Jiezi,10
327,Losel,Cordy,Tant,11/3/2000,Male,24965 Carpenter Trail,Wuhu,7
328,Kienlein,Burty,Elecum,12/25/1999,Male,742 Lake View Hill,Wuxing,8
329,Heggadon,Artair,Willcocks,12/26/1998,Male,4 Graedel Plaza,Thoen,7
330,Myton,Claudio,Larvor,7/9/2004,Male,9 Washington Center,Marataizes,8
331,Brandli,Obed,Francklin,9/21/2002,Male,05504 Eliot Terrace,Oslo,8
332,Yallowley,Raimondo,Moraleda,3/15/1990,Male,2523 Messerschmidt Lane,Jämsänkoski,7
333,Aleksidze,Mirella,Airlie,9/21/2002,Female,798 Dahle Point,Xiangfu,9
334,Southey,Torrin,Johncey,7/4/1999,Male,42 Buell Point,Pijao,8
335,Cosley,Devlen,Guiso,2/8/1999,Male,881 Clyde Gallagher Drive,Torre,7
336,Matskevich,Adrienne,Redley,8/19/1997,Female,864 Buell Avenue,Lefkoniko,8
337,Temporal,Randee,Duffree,1/21/1993,Female,5833 Kenwood Road,Ipiales,9
338,O'Donnell,Flossi,Presslee,8/10/1998,Female,6 Straubel Pass,Bitobe,9
339,Sutherns,Jonathan,McGookin,1/8/1999,Male,892 Fremont Court,Anjiang,7
340,Clipson,Dieter,Staig,9/16/2002,Male,77 Mockingbird Road,Balaka,8
341,Sterricker,Corina,England,11/16/2003,Female,2 Stephen Road,Oktyabr’skiy,10
342,Frankel,Gleda,Waterson,3/6/1992,Female,2365 Crest Line Street,Leiling,10
343,Foresight,Cynthie,Howland,12/1/2003,Female,71338 Maple Wood Parkway,Lais,8
344,Myford,Hetty,Bateman,5/16/1997,Female,7 Almo Terrace,Smiths Falls,7
345,Southall,Hewe,Brolly,5/5/2001,Male,58 Gerald Trail,Stockholm,9
346,Farlow,Livvyy,Pettitt,6/28/1995,Female,545 1st Point,Rzeczenica,8
347,Joul,Willdon,Glandon,1/19/2005,Male,2 Reinke Place,Montbéliard,8
348,Barthod,Jemmy,Butteris,4/1/2003,Female,22215 Johnson Lane,Salto de Pirapora,7
349,Horning,Leonhard,McCormack,7/24/1997,Male,71 Amoth Crossing,Ngori,7
350,Carletto,Rodolfo,Duding,10/10/1994,Male,198 Randy Drive,Singkup,8
351,Leeburn,Darn,Weeks,6/1/1991,Male,60129 Del Sol Parkway,Durham,8
352,Lomas,Giulio,Gindghill,8/5/2004,Male,371 Clyde Gallagher Avenue,Shuangfeng,10
353,Scorey,Codie,Plunkett,5/30/1999,Female,219 Mayer Point,Huangwan,8
354,Gallymore,Halsey,Kingsnorth,12/26/1993,Male,067 Vidon Terrace,Yeniköy,7
355,Parysowna,Bastian,Lathleiff,5/17/2002,Male,3829 Fairfield Pass,Lavia,9
356,Pragnall,Al,Shiers,3/15/1993,Male,7842 Towne Trail,Rakvere,8
357,Ballchin,Garrett,Tremberth,12/28/2004,Male,7058 Victoria Road,Malusay,7
358,Brookesbie,Marlene,Scarlon,11/13/2004,Female,373 Carpenter Crossing,Anthoúsa,8
359,Bazley,Catie,Greenaway,11/19/2003,Female,97 Bobwhite Center,Uliastay,10
360,Cotter,Stephanus,Rime,5/7/2004,Male,7 Gerald Crossing,Nogueira da Regedoura,8
361,Balassa,Garreth,Sinnocke,8/21/1999,Male,875 Sutherland Court,Fès,10
362,Pull,Bartholomew,Mateiko,10/16/1991,Male,5317 Sundown Plaza,Abeokuta,7
363,Buddell,Shermie,Masterson,7/17/1999,Male,2 International Street,Guilin,7
364,Klinck,Minta,Hamsher,12/29/1991,Female,52 Dakota Court,Quimper,7
365,Pensom,Dael,Sapsed,2/20/2004,Male,1764 Springs Hill,Meicheng,7
366,Greetland,Scarface,Sendley,8/10/2000,Male,354 Claremont Center,Thị Trấn Lâm,9
367,Duberry,Micki,Axell,6/23/1991,Female,9 Ridgeview Park,Oenopu,9
368,Filchakov,Barclay,Brodeau,9/11/2003,Male,55 Macpherson Road,Ollachea,9
369,Dyter,Cristionna,Wroath,4/19/2004,Female,3 Quincy Pass,Florentino Ameghino,8
370,Nouch,Jolee,Mattiessen,3/25/1996,Female,7574 Lawn Park,Guarumal,7
371,Hallbird,Albina,Tassel,3/22/2003,Female,581 Grover Road,Idtig,9
372,Mitchener,Hersch,Ambrogini,10/27/1997,Male,03217 Warbler Avenue,Naga,7
373,Suscens,Lila,Mollon,8/13/1999,Female,944 Melody Alley,Andilamena,10
374,Simonetti,Dewie,Collihole,1/6/1998,Male,03680 Gale Hill,Los Angeles,7
375,Custed,Sibeal,Guion,9/19/2005,Female,27983 2nd Point,Jinqiao,7
376,Waldock,Gilly,Vanichkov,8/8/1992,Female,41581 Kensington Junction,Leitões,8
377,Mordanti,Selina,Besque,1/20/1998,Female,812 Hayes Trail,Watuagung,8
378,Richens,Leonhard,Sendley,6/10/1994,Male,9 Forster Pass,Đức Phong,8
379,Byllam,Claudette,Checcuzzi,9/17/1996,Female,09 Waywood Lane,Bektemir,8
380,Wetherald,Cissy,Pattinson,11/9/1990,Female,22 Arizona Avenue,Dongying,7
381,Doey,Hadley,Wisham,2/4/1993,Male,617 2nd Point,Rora Timur,7
382,Condon,Zara,Berthomieu,3/12/2005,Female,3635 Roth Street,Shuangquan,8
383,Andrat,Gradeigh,Beckey,10/24/2003,Male,866 Pine View Parkway,Valuyki,9
384,Sissland,Davidde,Durtnall,4/18/1999,Male,57950 Fisk Place,Heqian,8
385,Castangia,Cindy,McGarva,7/19/1995,Female,6570 Heffernan Terrace,Hornówek,10
386,Delucia,Micah,Stooke,9/7/2005,Male,2 Bonner Center,Shuangfeng,10
387,Mullard,Archibald,Millican,7/31/1996,Male,40 Dovetail Parkway,Floridablanca,7
388,Conford,Bartie,Rehn,7/19/2002,Male,329 Farwell Road,Roma,8
389,Baser,Anallise,Geeraert,12/22/1998,Female,364 Columbus Trail,Bogale,8
390,Berthot,Ardelle,Thebeaud,4/13/1995,Female,8 Stoughton Circle,Brisbane,10
391,Matt,Andreana,Tattersfield,8/24/2003,Female,28449 Atwood Avenue,Nanxiang,8
392,L'oiseau,Kathleen,Lacaze,2/3/1994,Female,709 Rockefeller Center,Alaminos,9
393,Scading,Brunhilde,Statefield,1/13/1998,Female,4517 Oneill Alley,Xilu,7
394,Galia,Constantine,Cumming,7/22/1994,Male,3 Fieldstone Park,Skomielna Czarna,10
395,Castille,Briant,Shee,6/23/2003,Male,371 Corben Drive,Shangma,10
396,Furmonger,Coletta,Plumstead,12/11/2005,Female,9298 Killdeer Place,Maras,8
397,Lucian,Adina,Cusworth,3/3/1997,Female,4 Dovetail Avenue,Kwangju,8
398,Colleran,Dory,Semrad,6/16/1993,Male,7 Everett Circle,Lukunor,10
399,Armytage,Lelah,Dudny,11/26/2003,Female,01 Buena Vista Plaza,Bonriki Village,10
400,Hartigan,Norbie,Pimblott,4/5/1990,Male,2 Mayfield Road,Tunjuk Selatan,7
401,Szapiro,Clea,Towne,11/10/2001,Female,0956 Fremont Hill,Sohag,10
402,Antcliffe,Benedick,Sandom,8/22/1997,Male,5751 Pepper Wood Court,Dalam,8
403,Ivatts,Cristian,Lowerson,6/13/1993,Male,5 Prairieview Pass,Hlusk,9
404,Arbuckle,Laural,Plenty,12/30/1991,Female,426 Schmedeman Avenue,Saint-Priest,9
405,Pedlingham,Audi,Hartin,6/5/1997,Female,213 Anzinger Crossing,Turan,9
406,Eastlake,Kandy,Rableau,7/10/1996,Female,1074 Commercial Park,Aime,7
407,Quemby,Don,Iacovielli,10/8/1990,Male,20372 Sachs Way,Hatsukaichi,10
408,Bresland,Nils,Backson,9/11/1997,Male,7 Rusk Road,Krasica,9
409,Woolhouse,Ilise,Adran,1/11/1995,Female,320 Green Ridge Park,Yihe,9
410,Eidler,Lefty,Carlin,5/12/2004,Male,74667 Blaine Plaza,Toulon,9
411,Sprulls,Kincaid,Scatchar,10/4/1990,Male,7058 Sunnyside Lane,São Gabriel,9
412,Venn,Fidelity,Reily,3/14/2001,Female,63 Dorton Crossing,Vinhais,7
413,Heigl,Teressa,Labbe,7/29/1997,Female,1 Mendota Point,Orzu,8
414,Adamovitz,Cesare,Miere,5/23/1990,Male,9 Green Ridge Drive,Savelugu,8
415,Stebles,Bay,Faunt,4/12/1999,Male,215 Sommers Drive,‘Irbīn,9
416,Highway,Jere,MacCambridge,5/31/2002,Male,95047 Mariners Cove Court,Waikambila,8
417,Gasticke,Frannie,Trewin,12/15/1994,Female,78996 Chinook Alley,Mushu,10
418,Formie,Kassi,Addicott,6/15/2005,Female,55108 Oxford Trail,Kotlovka,7
419,Orthmann,Nerte,Perrelli,12/8/1998,Female,0 Caliangt Circle,Catache,7
420,MacIlwrick,Peyton,Hamper,9/4/2005,Male,848 Anniversary Court,Mithi,7
421,Bartelet,Shawn,Nanuccioi,6/8/2002,Male,2594 Gateway Plaza,Mintang,8
422,Gunthorp,Joaquin,Learmont,8/27/2002,Male,3199 Bay Crossing,Seattle,7
423,Wain,Tammara,Snipe,5/30/1996,Female,03777 Hazelcrest Way,Oesao,7
424,Bywater,Rozella,Faraday,2/13/1990,Female,385 Gerald Crossing,Youwei,7
425,Powderham,Haven,Vaar,2/14/2001,Male,9 Karstens Point,Al Khafjī,9
426,Normanton,Leroy,Izaac,1/24/1990,Male,61 Golf View Trail,Ḏânan,10
427,Spon,Dana,Klosterman,2/17/1994,Female,98782 Carpenter Crossing,Vladivostok,10
428,Bleasdale,Steffi,Rainsden,4/11/1997,Female,2 Summerview Street,Bayeman,7
429,Barendtsen,Emma,Helwig,7/29/1991,Female,9 2nd Lane,Thành Phố Nam Định,10
430,Kubala,Annissa,Richten,5/27/1998,Female,2 Gulseth Alley,Pandanwangi,9
431,Murphey,Channa,Bartle,10/11/1991,Female,5 Stoughton Street,Baranoa,9
432,Gynni,Basilio,Laye,8/10/1990,Male,928 Susan Parkway,Tamansari,10
433,Vaulkhard,Flora,Janota,6/15/1991,Female,37 6th Place,Ostrzeszów,9
434,Antonovic,Corilla,Joscelin,1/2/1993,Female,94214 Lawn Plaza,El Coco,7
435,Tomala,Rayshell,Purviss,12/2/1998,Female,90989 Darwin Pass,Valongo,7
436,McEntagart,Kerr,Rackham,8/29/1996,Male,9816 Hazelcrest Way,Manorhamilton,9
437,Tunn,Katina,Haime,5/6/1992,Female,61775 Lakewood Gardens Lane,Drajak,7
438,Spitaro,Clerc,Coste,6/21/1994,Male,6452 Hoffman Way,Changqi,9
439,Wallsworth,Loreen,Caulcutt,3/6/1999,Female,5100 6th Point,Salfīt,9
440,Osipov,Irene,O'Fallone,3/28/2001,Female,2828 Mendota Crossing,Grazhdanka,7
441,Venners,Town,Holdey,3/20/1996,Male,40 Magdeline Junction,Panognawan,9
442,Ayliff,Wynn,Verbeke,4/11/2004,Male,10 Hudson Way,Xiashe,7
443,Harmon,Claudell,Dosdale,2/13/2000,Male,03058 David Avenue,Tissa,9
444,Dugan,Stavro,Bomfield,4/17/1990,Male,7165 Dakota Trail,Sotteville-lès-Rouen,7
445,Ladds,Giavani,Babonau,5/13/1997,Male,14249 Fallview Pass,Ljig,9
446,Marsie,Kimberli,Beefon,3/5/2002,Female,646 Darwin Road,Heyou,8
447,Krysiak,Asa,Dunkerk,7/21/1999,Male,0126 Iowa Hill,Omaha,7
448,Inston,Lydie,Lippini,8/30/1992,Female,66167 Lawn Alley,Santa Marta de Penaguião,8
449,Gabby,Winnie,Reveland,7/11/1996,Female,747 Kenwood Avenue,San Pedro Pinula,7
450,Linkie,Thorstein,Pettyfer,4/2/1990,Male,69 Little Fleur Trail,Tomorlog,8
451,Poolman,Charlotte,Linsey,2/21/2003,Female,491 Bluestem Crossing,Pazarić,9
452,Cowx,Aubert,Jesper,4/7/1990,Male,22811 Doe Crossing Place,Senanga,7
453,Foster,Jaynell,Pittford,9/23/2004,Female,3 Mayer Terrace,Barqueiro,10
454,Labon,Neddy,Ashton,7/20/1996,Male,3 Spenser Trail,Dasuk,7
455,Rosendahl,Jessika,MacDonnell,4/29/2004,Female,619 Mariners Cove Way,Santa Monica,8
456,Tithecott,Domingo,Bowfin,3/14/2003,Male,9363 Dayton Circle,Caicara,10
457,Mildmott,Kip,Wattingham,10/31/2000,Male,007 Ilene Street,Néa Flogitá,9
458,Petriello,Nickolai,Suddards,10/10/1994,Male,3376 Fordem Street,Jiaoshi,7
459,McRavey,Noelani,Giggie,1/16/2001,Female,7 Sundown Trail,San Francisco,9
460,Ansley,Barbe,Plaid,6/17/1996,Female,0155 Melody Street,Villamontes,8
461,Dundendale,Sabra,Yeardley,4/18/1990,Female,57150 Lien Pass,Volkhovskiy,8
462,Adamsky,Reginald,Coolican,3/8/2000,Male,09743 Veith Center,Shigongqiao,9
463,Langthorn,Jillayne,Wetherhead,7/6/2003,Female,269 Nevada Pass,Bi’r al Ḩufayy,8
464,Slamaker,Natasha,Vardey,7/10/2002,Female,143 Kropf Terrace,Pakham,7
465,Veldman,Quinton,Marriot,7/25/1998,Male,31896 Ronald Regan Junction,Mojogajeh,8
466,Chree,Thomasin,Darthe,7/6/1999,Female,959 Bunker Hill Center,Rzhev,7
467,Garton,Cariotta,Hendrickx,9/1/1995,Female,4 Pankratz Terrace,Kotel’niki,9
468,Patey,Rona,Livingstone,10/21/1996,Female,0 Merrick Lane,Guanlu,10
469,Braikenridge,Bella,Meers,7/30/1996,Female,559 Debra Drive,Mariana,10
470,Peche,Kennith,Campa,12/8/2004,Male,1898 Morning Pass,Kangxung,10
471,Cecchi,Lucita,Peppett,6/8/1998,Female,33417 Ramsey Circle,Nýdek,8
472,Stirrip,Car,Groll,10/7/2003,Male,909 Graedel Plaza,Lubango,10
473,Grestye,Twila,Eglinton,3/21/1995,Female,43 Northridge Junction,Touba,7
474,Corrao,Lanae,Yorke,2/6/1991,Female,8792 Stuart Avenue,Sidowayah Lor,8
475,Jenoure,Melisa,O'Beirne,4/14/2002,Female,889 Autumn Leaf Hill,Hämeenkoski,8
476,Eilles,Stan,Chartman,11/30/1995,Male,24863 Kenwood Place,La Bélgica,9
477,Jowers,Boyd,Learmount,8/17/2000,Male,082 Hallows Terrace,Krajan Timur Mlokorejo,8
478,Chevalier,Toinette,Tressler,5/3/1997,Female,65 Michigan Plaza,Levallois-Perret,9
479,Boyes,Ingunna,Curbishley,5/27/1998,Female,909 Pleasure Place,eMbalenhle,9
480,Meric,Sholom,Gierek,12/20/1999,Male,1728 Mayer Road,Margoyoso,9
481,Merill,Wendeline,Vassar,1/8/2004,Female,6 Eliot Drive,Belén de los Andaquíes,9
482,Heaney,Goldi,Robertshaw,10/24/2001,Female,365 Sugar Junction,Svedala,7
483,Blaver,Sawyere,Vogel,9/12/1996,Male,18943 Canary Way,Niedrzwica Duża,8
484,Farrent,Mauricio,Lawles,2/6/2001,Male,10 Leroy Crossing,Malaga,10
485,Gofton,Gordy,Botterill,9/7/2005,Male,05823 Ohio Way,Solnice,8
486,Dorn,Hart,Sterrie,9/12/1995,Male,4387 North Lane,Lamak,10
487,Bastide,Wandis,Prowting,2/21/1991,Female,00373 Portage Way,Dalaba,8
488,McCurtin,Trixie,Tzarkov,5/21/1995,Female,360 Old Shore Hill,Cabalawan,9
489,Teodoro,Culver,Sandhill,10/22/2002,Male,3298 Glacier Hill Crossing,Verkhniy Lomov,8
490,Gail,Florie,Ludlem,12/19/1992,Female,4 Browning Terrace,Zhuzuo,9
491,Glasser,Ray,Febre,2/15/2003,Male,04 Susan Pass,Fuyo,7
492,Mattsson,Charisse,Giacoppo,12/21/2004,Female,35 Hauk Hill,Luleå,7
493,Tearny,Nicoli,Pacquet,3/13/1992,Female,9 Bartillon Crossing,La Loma,8
494,Fawbert,Lonnie,Tremmel,6/7/1998,Female,57587 Brickson Park Road,Skiáthos,9
495,Crichten,Steve,Dungey,5/3/2005,Male,59 Dennis Terrace,Mafang,7
496,Peasegood,Oswald,Eastabrook,9/6/1995,Male,86354 Thierer Crossing,Jardín América,9
497,Barneville,Enos,Iskowicz,1/1/1993,Male,745 Di Loreto Road,Nida,9
498,Larrett,Goldy,Freegard,5/31/2003,Female,45552 Fair Oaks Pass,Cergy-Pontoise,10
499,Thickin,Kaia,Chessell,12/25/1999,Female,46915 7th Parkway,Hangkou,7
500,Alcido,Winnie,Spur,11/29/1997,Male,44 Harper Park,Gharyan,10
